Neuron,Type
 pm7vr       ,Unknown
pm7d ,Unknown
pm8 ,Unknown
pm7vr ,Unknown
 vBWML7      ,Unknown
 um1aR       ,Unknown
 vm1aL       ,Unknown
 vm1pL       ,Unknown
 vm1pR       ,Unknown
 vBWML6      ,Unknown
 vBWML10     ,Unknown
 dBWML11     ,Unknown
dBWML12 ,Unknown
 dBWML13     ,Unknown
dBWML14 ,Unknown
 dBWML15     ,Unknown
dBWML16 ,Unknown
 dBWML17     ,Unknown
 dBWML19     ,Unknown
dBWML20 ,Unknown
 dBWML21     ,Unknown
dBWMR1 ,Unknown
 dBWMR3      ,Unknown
 dBWMR2      ,Unknown
dBWMR3 ,Unknown
dBWMR2 ,Unknown
dBWMR4 ,Unknown
 dBWMR1      ,Unknown
 dBWMR5      ,Unknown
 dBWMR7      ,Unknown
dBWMR8 ,Unknown
 dBWMR9      ,Unknown
 dBWMR10     ,Unknown
dBWMR11 ,Unknown
 dBWMR12     ,Unknown
 dBWMR17     ,Unknown
 dBWMR18     ,Unknown
dBWMR18 ,Unknown
 dBWMR19     ,Unknown
dBWMR19 ,Unknown
 dBWMR20     ,Unknown
 dBWMR21     ,Unknown
dBWMR21 ,Unknown
 dBWMR22     ,Unknown
dBWMR22 ,Unknown
 dBWMR23     ,Unknown
 vBWML2      ,Unknown
vBWML3 ,Unknown
 vBWML4      ,Unknown
 vBWML5      ,Unknown
vBWML5 ,Unknown
vBWML6 ,Unknown
vBWML11 ,Unknown
 vBWML12     ,Unknown
 vBWML13     ,Unknown
vBWML13 ,Unknown
 vBWML14     ,Unknown
vBWML14 ,Unknown
 vBWML15     ,Unknown
vBWML15 ,Unknown
 vBWML16     ,Unknown
 vBWML17     ,Unknown
vBWML17 ,Unknown
 vBWML18     ,Unknown
vBWML18 ,Unknown
 vBWML19     ,Unknown
 vBWML20     ,Unknown
vBWML20 ,Unknown
 vBWML21     ,Unknown
vBWML21 ,Unknown
 vBWML22     ,Unknown
vBWMR1 ,Unknown
 vBWMR3      ,Unknown
 vBWMR2      ,Unknown
vBWMR3 ,Unknown
vBWMR2 ,Unknown
 vBWMR1      ,Unknown
 vBWMR4      ,Unknown
 vBWMR15     ,Unknown
vBWMR16 ,Unknown
 vBWMR17     ,Unknown
 vBWMR19     ,Unknown
vBWMR20 ,Unknown
 vBWMR21     ,Unknown
intL ,Unknown
 intR        ,Unknown
 anal        ,Unknown
sph ,Unknown
anal ,Unknown
 intL        ,Unknown
 um2pL       ,Unknown
BWM-VL01,Unknown
PLNR,Unknown
ALNL,Unknown
BWM-DR07,Unknown
I2R ,Unknown
NSMR ,Unknown
M3R ,Unknown
pm5d ,Unknown
pm5vl ,Unknown
MCR ,Unknown
pm2vr ,Unknown
pm4vr ,Unknown
mc2v ,Unknown
AWAL ,Unknown
AIYL ,Unknown
ALNL ,Unknown
RMFL ,Unknown
 dBWML9        ,Unknown
IL1VR ,Unknown
RMFR ,Unknown
PHAR ,Unknown
ASJR ,Unknown
 vBWML8      ,Unknown
 DD05        ,Unknown
VD08 ,Unknown
vBWML8 ,Unknown
vBWMR8 ,Unknown
AS09 ,Unknown
vm2aR ,Unknown
AS08 ,Unknown
vBWML7 ,Unknown
vBWML9 ,Unknown
um1aL ,Unknown
vm1aR ,Unknown
pm1vl ,Unknown
pm1vr ,Unknown
pm2d ,Unknown
pm2vl ,Unknown
mc3dl ,Unknown
pm7vl ,Unknown
 dBWML3      ,Unknown
dBWML3 ,Unknown
dBWML2 ,Unknown
dBWML4 ,Unknown
 dBWML1      ,Unknown
 dBWML5      ,Unknown
dBWML6 ,Unknown
dBWML18 ,Unknown
dBWML22 ,Unknown
 dBWML23     ,Unknown
dBWML24 ,Unknown
dBWMR5 ,Unknown
 dBWMR6      ,Unknown
dBWMR6 ,Unknown
dBWMR7 ,Unknown
dBWMR9 ,Unknown
dBWMR10 ,Unknown
dBWMR13 ,Unknown
dBWMR16 ,Unknown
dBWMR17 ,Unknown
dBWMR20 ,Unknown
vBWML10 ,Unknown
 vBWML11     ,Unknown
vBWMR7 ,Unknown
 vBWMR6      ,Unknown
vBWML12 ,Unknown
vBWML16 ,Unknown
vBWML19 ,Unknown
vBWML22 ,Unknown
vBWMR4 ,Unknown
vBWMR5 ,Unknown
vBWMR17 ,Unknown
 vBWMR18     ,Unknown
vBWMR18 ,Unknown
vBWMR19 ,Unknown
intR ,Unknown
um2aR ,Unknown
um2pR ,Unknown
RIBL,Interneuron
RIBR,Interneuron
RIGR,Unknown
AIAR,Unknown
ASER,Sensory
RIGL,Unknown
IL1VR,Unknown
RMDDL,Unknown
RMDDR,Unknown
RMGL,Unknown
AIZL,Unknown
AIZR,Unknown
AQR,Unknown
RMED,Unknown
ASHL,Sensory
RIPR,Unknown
SDQR,Unknown
SDQL,Unknown
RMER,Unknown
IL1VL,Unknown
RIPL,Unknown
RIR,Unknown
ADEL,Unknown
AIAL,Unknown
AIMR,Unknown
RMEL,Unknown
IL1DR,Unknown
CANR,Unknown
dBWML8 ,Unknown
vm1aL ,Unknown
vm1pR ,Unknown
pm1d ,Unknown
dBWML11 ,Unknown
 dBWML12     ,Unknown
dBWML13 ,Unknown
dBWML15 ,Unknown
 dBWML16     ,Unknown
dBWML17 ,Unknown
dBWML21 ,Unknown
 dBWML22     ,Unknown
dBWML23 ,Unknown
 dBWMR14     ,Unknown
dBWMR15 ,Unknown
dBWMR23 ,Unknown
dBWMR24 ,Unknown
vBWML1 ,Unknown
vBWML4 ,Unknown
vBWML23 ,Unknown
vBWMR10 ,Unknown
 vBWMR11     ,Unknown
vBWMR12 ,Unknown
vBWMR14 ,Unknown
vBWMR21 ,Unknown
 vBWMR22     ,Unknown
vBWMR22 ,Unknown
vBWMR23 ,Unknown
BWM-VR03,Unknown
DB1,Unknown
 I2L           ,Unknown
 MCL           ,Unknown
 pm3vl         ,Unknown
 pm4d          ,Unknown
 MCR         ,Unknown
 pm1vr         ,Unknown
 pm3vr         ,Unknown
 I1L           ,Unknown
 I1R           ,Unknown
 pm4vr         ,Unknown
 pm6vl         ,Unknown
 pm7d          ,Unknown
 mc2dl         ,Unknown
 AFDL          ,Unknown
 AIZL          ,Unknown
 RIGR          ,Unknown
 SMDVL         ,Unknown
 AVJL          ,Unknown
 ASJL          ,Unknown
 ASKL          ,Unknown
 RMGR          ,Unknown
 RMDDR         ,Unknown
 RMDL          ,Unknown
 SIADR         ,Unknown
 RIFL          ,Unknown
 SIADL         ,Unknown
 AVKR          ,Unknown
 ALNL          ,Unknown
 RMEL        ,Unknown
 vm2aR         ,Unknown
 vm2pL         ,Unknown
 RIFL        ,Unknown
 ALA           ,Unknown
 OLLR          ,Unknown
 AWAR        ,Unknown
 VC04          ,Unknown
 HSNL        ,Unknown
 IL2DL         ,Unknown
 URBL          ,Unknown
 IL1DL         ,Unknown
 DB04          ,Unknown
 PDA         ,Unknown
 VD03          ,Unknown
 URADL       ,Unknown
 IL2DR         ,Unknown
 RMFR          ,Unknown
 AS01          ,Unknown
 AS03          ,Unknown
 RID         ,Unknown
 DB05        ,Unknown
 dBWMR1        ,Unknown
 IL2VL         ,Unknown
 dBWMR10       ,Unknown
 dBWML14       ,Unknown
 dBWML16       ,Unknown
 AS03        ,Unknown
 intestine     ,Unknown
 VB06          ,Unknown
 VB04          ,Unknown
 URAVR       ,Unknown
 URADR       ,Unknown
 CEPDR       ,Unknown
 IL2DL       ,Unknown
 PHBL          ,Unknown
 VC06          ,Unknown
 VC02        ,Unknown
 vm2aL       ,Unknown
 vm2aR       ,Unknown
 DB01          ,Unknown
 vBWML21       ,Unknown
 vBWML20       ,Unknown
 VD06        ,Unknown
 VD04        ,Unknown
 VD10        ,Unknown
 AS04        ,Unknown
 DD04          ,Unknown
 dBWMR23       ,Unknown
 dBWML18       ,Unknown
 DD03        ,Unknown
 VB07          ,Unknown
dBWML9 ,Unknown
um1aR ,Unknown
 pm6vl       ,Unknown
 mc1v        ,Unknown
 pm7d        ,Unknown
 pm7vl       ,Unknown
 pm1vl       ,Unknown
 vBWML9      ,Unknown
 vBWMR7      ,Unknown
 vBWMR9      ,Unknown
 um1aL       ,Unknown
 um1pL       ,Unknown
 um1pR       ,Unknown
 vm1aR       ,Unknown
 dBWML8      ,Unknown
 dBWML10     ,Unknown
 vBWMR8      ,Unknown
 dBWML2      ,Unknown
dBWML1 ,Unknown
 dBWML4      ,Unknown
 dBWML6      ,Unknown
dBWML7 ,Unknown
 dBWMR8      ,Unknown
 dBWMR11     ,Unknown
dBWMR12 ,Unknown
 dBWMR13     ,Unknown
dBWMR14 ,Unknown
 dBWMR15     ,Unknown
 dBWMR16     ,Unknown
 vBWML3      ,Unknown
vBWML2 ,Unknown
 vBWML1      ,Unknown
vBWMR9 ,Unknown
 vBWMR10     ,Unknown
 vBWML23     ,Unknown
 vBWMR5      ,Unknown
vBWMR6 ,Unknown
vBWMR11 ,Unknown
 vBWMR12     ,Unknown
vBWMR13 ,Unknown
 vBWMR14     ,Unknown
vBWMR15 ,Unknown
 vBWMR16     ,Unknown
 vBWMR20     ,Unknown
 sph         ,Unknown
 um2aL       ,Unknown
 um2aR       ,Unknown
 um2pR       ,Unknown
um2aL  ,Unknown
um2pL ,Unknown
 pm1vr       ,Unknown
 pm1d        ,Unknown
 dBWML7      ,Unknown
dBWML5 ,Unknown
 dBWML14     ,Unknown
 dBWML18     ,Unknown
dBWML19 ,Unknown
 dBWML20     ,Unknown
 dBWML24     ,Unknown
 dBWMR4      ,Unknown
 dBWMR24     ,Unknown
 vBWMR13     ,Unknown
 vBWMR23     ,Unknown
 vBWMR24     ,Unknown
vBWMR24 ,Unknown
