neuron_id,class_index
AVAR ,0
pm7vr ,0
DA06 ,0
AS07,1
 RMHL        ,0
VA02 ,0
AFDL ,0
 VB10        ,0
SAAVL ,0
SDQR,2
SMDDL ,0
vBWML17 ,0
BWM-VL08,0
AS10,1
 dBWML16     ,0
dBWMR17 ,0
 IL1R          ,0
 RMFR          ,0
 PHCR          ,0
dBWMR14 ,0
 SIADL       ,0
PVDL ,0
 um1aL       ,0
VB01 ,0
AVL ,0
PLNR ,0
PVPR,2
DB01,1
DD02,1
 PVCL        ,0
RIBL ,0
 MI            ,0
 ASGL          ,0
RIML ,0
 vBWML11     ,0
DA02,1
 vBWMR11       ,0
 SIAVR         ,0
 dBWMR12       ,0
DVC,1
 ADER        ,0
 RMEV          ,0
 vBWML2        ,0
VD01 ,0
 CEPDR         ,0
 VA04        ,0
 M3L         ,0
PVWR,2
pm3vr ,0
AVJR,1
 dBWMR15     ,0
 M3R         ,0
 PLML        ,0
RMFL ,0
vBWML10 ,0
 I4          ,0
VB03,0
 pm3vl       ,0
 um1aR       ,0
VB04 ,0
 AS08          ,0
VB09,0
AVDR,1
 VC03          ,0
 RIVR          ,0
dBWML18 ,0
 vBWML7        ,0
URADR ,0
SAAVR,2
 vBWML13       ,0
HSNR,1
 VA09          ,0
 VC05          ,0
 VD02          ,0
 VB02          ,0
vBWMR14 ,0
 AFDR        ,0
vm2pL ,0
PHCL ,0
AWBR ,0
ALML ,0
 PVQR        ,0
RMHL ,0
 SIADL         ,0
 VB10          ,0
M2R ,0
VB08,0
 DVA         ,0
 URYDL       ,0
 VA03          ,0
 PVDR        ,0
 RMGR        ,0
RMGL ,0
 dBWMR14       ,0
RMDL,2
 dBWMR24       ,0
